origin_city_name,dest_city_name,n,distance_km,duration_min,duration_mean,duration_max,price_mean
"Paris, Île-de-France, France","Lyon, Auvergne-Rhône-Alpes, France",1504,390.62880286693303,3.0,5.712555407801418,28.516666666666666,40.80119680851064
"Lyon, Auvergne-Rhône-Alpes, France","Paris, Île-de-France, France",1482,390.62880286693303,2.15,6.251315789473685,41.55,46.2031713900135
"Paris, Île-de-France, France","Lille, Hauts-de-France, France",1101,205.84287484149192,1.1333333333333333,4.28761731759007,37.333333333333336,21.242779291553134
"Paris, Île-de-France, France","Nantes, Pays-de-la-Loire, France",1082,338.3206023259943,2.2666666666666666,5.129497843499692,40.4,37.26700554528651
"Paris, Île-de-France, France","Bordeaux, Nouvelle-Aquitaine, France",762,498.6684113974761,2.533333333333333,7.039435695538058,40.333333333333336,46.59540682414698
"Paris, Île-de-France, France","Amsterdam, Noord-Holland, Nederland",685,430.9743229244989,3.683333333333333,7.838783454987834,36.666666666666664,95.74467153284672
"Nantes, Pays-de-la-Loire, France","Paris, Île-de-France, France",650,338.3206023259943,2.7333333333333334,5.909487179487179,40.1,34.76015384615384
"Paris, Île-de-France, France","Rennes, Bretagne, France",533,308.15984951579856,2.05,4.814727954971858,31.333333333333332,31.676172607879927
"Paris, Île-de-France, France","Bruxelles, Bruxelles-Capitale, Belgique",529,262.6524532494167,1.8166666666666667,3.903906742281033,37.833333333333336,34.04631379962193
"Paris, Île-de-France, France","Marseille, Provence-Alpes-Côte d'Azur, France",511,659.5586162504871,3.4166666666666665,8.355707762557078,30.75,84.38336594911938
"Bordeaux, Nouvelle-Aquitaine, France","Paris, Île-de-France, France",436,498.6684113974761,2.783333333333333,7.310206422018348,33.65,45.22522935779817
"Rennes, Bretagne, France","Paris, Île-de-France, France",388,308.15984951579856,2.4166666666666665,4.076417525773196,26.2,28.620103092783506
"Marseille, Provence-Alpes-Côte d'Azur, France","Paris, Île-de-France, France",367,659.5586162504871,3.6666666666666665,10.193369663941871,42.65,74.32098092643052
"Paris, Île-de-France, France","Toulouse, Occitanie, France",330,586.130990304594,6.0,9.121060606060606,34.78333333333333,53.77454545454545
"Tours, Centre-Val de Loire, France","Paris, Île-de-France, France",327,203.7403625354342,2.0,3.7046890927624876,31.366666666666667,19.984097859327218
"Vannes, Bretagne, France","Paris, Île-de-France, France",287,400.04916523878927,2.7666666666666666,7.2718350754936125,39.55,52.25714285714285
"Lille, Hauts-de-France, France","Paris, Île-de-France, France",276,205.84287484149192,1.4166666666666667,2.680132850241546,6.333333333333333,17.68768115942029
"Paris, Île-de-France, France","Rouen, Normandie, France",270,112.61542361766938,1.3333333333333333,1.8224074074074075,3.9166666666666665,11.03814814814815
"Toulouse, Occitanie, France","Bordeaux, Nouvelle-Aquitaine, France",249,210.88288995624006,2.0,3.2853413654618473,25.683333333333334,18.94578313253012
"Grenoble, Auvergne-Rhône-Alpes, France","Paris, Île-de-France, France",249,480.41448316123024,3.35,7.16318607764391,35.916666666666664,57.35180722891566
"Paris, Île-de-France, France","Strasbourg, Grand-Est, France",248,397.4370733488483,2.4166666666666665,7.395967741935484,33.81666666666667,70.29798387096774
"Lyon, Auvergne-Rhône-Alpes, France","Dijon, Bourgogne-Franche-Comté, France",245,174.08632453952603,1.8333333333333333,2.630544217687075,17.483333333333334,19.472244897959182
"Dijon, Bourgogne-Franche-Comté, France","Lyon, Auvergne-Rhône-Alpes, France",233,174.08632453952603,1.6666666666666667,3.526680972818312,26.0,16.30343347639485
"Paris, Île-de-France, France","Nice, Provence-Alpes-Côte d'Azur, France",223,686.4277513077077,6.65,15.34304932735426,40.7,65.51345291479821
"Toulouse, Occitanie, France","Nantes, Pays-de-la-Loire, France",214,466.0058414349545,5.666666666666667,7.925934579439253,23.583333333333332,40.8696261682243
"Lyon, Auvergne-Rhône-Alpes, France","Lille, Hauts-de-France, France",214,557.4558551001611,6.166666666666667,11.954205607476634,36.916666666666664,44.66869158878505
"Bordeaux, Nouvelle-Aquitaine, France","Toulouse, Occitanie, France",211,210.88288995624006,2.0,2.9864139020537124,41.75,18.5
"Paris, Île-de-France, France","Orléans, Centre-Val de Loire, France",210,109.66408188808204,0.3333333333333333,1.8912698412698414,28.666666666666668,9.973809523809523
"Orléans, Centre-Val de Loire, France","Paris, Île-de-France, France",201,109.66408188808204,1.3333333333333333,3.982587064676617,37.5,12.319900497512439
"Bruxelles, Bruxelles-Capitale, Belgique","Paris, Île-de-France, France",193,262.6524532494167,1.8,5.36139896373057,30.916666666666668,44.00362694300519
"Nice, Provence-Alpes-Côte d'Azur, France","Paris, Île-de-France, France",193,686.4277513077077,5.816666666666666,12.844905008635578,45.71666666666667,81.40880829015543
"Bordeaux, Nouvelle-Aquitaine, France","Nantes, Pays-de-la-Loire, France",185,278.3243620464878,3.0,4.385495495495496,32.333333333333336,26.21891891891892
"Paris, Île-de-France, France","Pau, Nouvelle-Aquitaine, France",183,651.2601201803012,4.85,9.713296903460838,24.0,72.81803278688525
"Rouen, Normandie, France","Paris, Île-de-France, France",173,112.61542361766938,1.1666666666666667,2.3328516377649327,13.466666666666667,12.319653179190752
"Clermont-Ferrand, Auvergne-Rhône-Alpes, France","Paris, Île-de-France, France",173,346.5322575159336,3.6666666666666665,5.246339113680154,23.483333333333334,32.89942196531792
"Paris, Île-de-France, France","Le Mans, Pays-de-la-Loire, France",172,184.34987458184204,1.6666666666666667,2.5377906976744184,7.833333333333333,15.936046511627907
"Marseille, Provence-Alpes-Côte d'Azur, France","Lyon, Auvergne-Rhône-Alpes, France",171,277.6260972375653,2.033333333333333,3.88625730994152,20.083333333333332,23.538011695906434
"Clermont-Ferrand, Auvergne-Rhône-Alpes, France","Lyon, Auvergne-Rhône-Alpes, France",165,136.0015364087268,1.5,2.094949494949495,3.8333333333333335,12.227272727272727
"Paris, Île-de-France, France","Caen, Normandie, France",160,200.26815759072238,2.3333333333333335,4.3334375000000005,28.083333333333332,17.375625
"Strasbourg, Grand-Est, France","Paris, Île-de-France, France",160,397.4370733488483,2.3333333333333335,7.977916666666667,39.13333333333333,61.299375
"Toulouse, Occitanie, France","Paris, Île-de-France, France",157,586.130990304594,5.216666666666667,9.081528662420382,35.333333333333336,56.0828025477707
"Paris, Île-de-France, France","Grenoble, Auvergne-Rhône-Alpes, France",155,480.41448316123024,3.4833333333333334,7.677741935483871,31.583333333333332,45.91161290322581
"Montpellier, Occitanie, France","Toulouse, Occitanie, France",145,198.5462994926857,2.0,2.872413793103448,8.666666666666666,19.626896551724137
"Paris, Île-de-France, France","Reims, Grand-Est, France",143,126.49071584514381,1.3333333333333333,2.0710955710955714,8.383333333333333,16.44895104895105
"Lyon, Auvergne-Rhône-Alpes, France","Marseille, Provence-Alpes-Côte d'Azur, France",143,277.6260972375653,1.9833333333333334,4.390792540792541,17.75,31.56223776223776
"Lille, Hauts-de-France, France","Lyon, Auvergne-Rhône-Alpes, France",136,557.4558551001611,4.216666666666667,10.977941176470589,39.233333333333334,47.82941176470588
"Le Mans, Pays-de-la-Loire, France","Paris, Île-de-France, France",135,184.34987458184204,1.6666666666666667,2.350617283950617,4.333333333333333,15.648148148148149
"Amsterdam, Noord-Holland, Nederland","Paris, Île-de-France, France",134,430.9743229244989,3.7,8.39900497512438,34.5,76.98283582089553
"Valence, Auvergne-Rhône-Alpes, France","Paris, Île-de-France, France",132,476.7244366968269,2.566666666666667,7.7191919191919185,28.583333333333332,61.74242424242424
"Bruxelles, Bruxelles-Capitale, Belgique","Bordeaux, Nouvelle-Aquitaine, France",132,760.8145816405121,5.033333333333333,13.139015151515151,27.666666666666668,50.83030303030303
"Caen, Normandie, France","Paris, Île-de-France, France",131,200.26815759072238,2.3333333333333335,3.271119592875318,30.416666666666668,18.538931297709922
"London, England, United Kingdom","Brighton, England, UK",130,76.21061358130267,1.4666666666666666,2.56474358974359,9.883333333333333,18.305846153846154
"Paris, Île-de-France, France","Tours, Centre-Val de Loire, France",128,203.7403625354342,2.0,3.6419270833333335,23.25,17.9515625
"Paris, Île-de-France, France","Ouistreham, Normandie, France",127,195.65791360379777,2.0,2.820209973753281,5.0,17.700787401574804
"Paris, Île-de-France, France","Limoges, Nouvelle-Aquitaine, France",126,344.6730307448569,3.5,6.466931216931218,27.666666666666668,39.51666666666667
"Paris, Île-de-France, France","Avignon, Provence-Alpes-Côte d'Azur, France",119,575.7919788300785,4.05,8.92703081232493,39.333333333333336,83.01764705882353
"Avignon, Provence-Alpes-Côte d'Azur, France","Marseille, Provence-Alpes-Côte d'Azur, France",116,85.99292939937804,1.0,3.163505747126437,28.166666666666668,10.405172413793103
"Paris, Île-de-France, France","Angers, Pays-de-la-Loire, France",114,264.4324411071109,2.0,4.398976608187135,30.5,27.94736842105263
"Nice, Provence-Alpes-Côte d'Azur, France","Lyon, Auvergne-Rhône-Alpes, France",114,299.46471681503795,4.166666666666667,7.916666666666667,28.5,33.25087719298246
"Vannes, Bretagne, France","Brest, Bretagne, France",113,152.47284259567706,1.8333333333333333,3.0057522123893805,6.266666666666667,25.280530973451327
"Saint-Étienne, Auvergne-Rhône-Alpes, France","Paris, Île-de-France, France",113,409.134851826223,2.8,6.165044247787611,28.0,77.3716814159292
"Niort, Nouvelle-Aquitaine, France","Paris, Île-de-France, France",113,353.6403971186453,2.1666666666666665,8.025368731563422,37.28333333333333,55.58230088495576
